id,level,lesson,topic,type,component,content,romanized,english_translation,choices
1,Beginner,1,greetings,multiple_choice,vocabulary,"{""Hola""}","{""Hola""}","{""hello""}","{""hello"", ""good morning"", ""good afternoon"", ""good evening""}"
2,Beginner,1,greetings,multiple_choice,vocabulary,"{""Buenos días""}","{""Buenos días""}","{""good morning""}","{""hello"", ""good morning"", ""good afternoon"", ""good evening""}"
3,Beginner,1,greetings,multiple_choice,vocabulary,"{""Buenas tardes""}","{""Buenas tardes""}","{""good afternoon""}","{""hello"", ""how are you?"", ""good afternoon"", ""good evening""}"
4,Beginner,1,greetings,multiple_choice,vocabulary,"{""Buenas noches""}","{""Buenas noches""}","{""good evening""}","{""hello"", ""how are you?"", ""good afternoon"", ""good evening""}"
5,Beginner,1,greetings,multiple_choice,vocabulary,"{""¿cómo estás?""}","{""¿cómo estás?""}","{""how are you?""}","{""hello"", ""how are you?"", ""good afternoon"", ""good evening""}"
6,Beginner,1,greetings,text_entry,grammar,"{""Hola, ¿cómo estás?""}","{""Hola, ¿cómo estás?""}","{""Hello, how are you?""}","{""Hola, ¿cómo estás?""}"
7,Beginner,1,greetings,text_entry,grammar,"{""Buenos dias, Fernando""}","{""Buenos dias, Fernando""}","{""Good morning, Fernando""}","{""Buenos dias, Fernando""}"
8,Beginner,2,numbers_age,matching_type,vocabulary,"{""cero"", ""uno"", ""dos"", ""tres"", ""cuatro"", ""cinco"", ""seis"", ""ocho"", ""nueve""}","{""cero"", ""uno"", ""dos"", ""tres"", ""cuatro"", ""cinco"", ""seis"", ""ocho"", ""nueve""}","{""zero"", ""one"", ""two"", ""three"", ""four"", ""five"", ""six"", ""seven"", ""eight"", ""nine""}","{""eight"", ""one"", ""three"", ""four"", ""two"", ""seven"", ""six"", ""zero"", ""nine"", ""five""}"
9,Beginner,2,numbers_age,matching_type,vocabulary,"{""diez"", ""once"", ""doce"", ""trece"", ""catorce"", ""quince"", ""dieciséis"", ""diecisiete"", ""dieciocho"", ""diecinueve""}","{""diez"", ""once"", ""doce"", ""trece"", ""catorce"", ""quince"", ""dieciséis"", ""diecisiete"", ""dieciocho"", ""diecinueve""}","{""ten"", ""eleven"", ""twelve"", ""thirteen"", ""fourteen"", ""fifteen"", ""sixteen"", ""seventeen"", ""eighteen"", ""nineteen""}","{""seventeen"", ""thirteen"", ""ten"", ""fifteen"", ""eleven"", ""eighteen"", ""fourteen"", ""nineteen"", ""sixteen"", ""twelve""}"
10,Beginner,2,numbers_age,matching_type,vocabulary,"{""veinte"", ""treinta"", ""cuarenta"", ""cincuenta"", ""sesenta"", ""setenta"", ""ochenta"", ""noventa""}","{""veinte"", ""treinta"", ""cuarenta"", ""cincuenta"", ""sesenta"", ""setenta"", ""ochenta"", ""noventa""}","{""twenty"", ""thirty"", ""fourty"", ""fifty"", ""sixty"", ""seventy"", ""eighty"", ""ninety""}","{""thirty"", ""twenty"", ""ninety"", ""fifty"", ""sixty"", ""seventy"", ""fourty"", ""eighty""}"
11,Beginner,2,numbers_age,matching_type,vocabulary,"{""veintisiete"", ""treinta y dos"", ""sesenta y nueve"", ""noventa y cinco"", ""cincuenta y uno""}","{""veintisiete"", ""treinta y dos"", ""sesenta y nueve"", ""noventa y cinco"", ""cincuenta y uno""}","{""twenty seven"", ""thirty two"", ""sixty nine"", ""ninety five"", ""fifty one""}","{""thirty two"", ""fifty one"", ""twenty seven"", ""ninety five"", ""sixty nine""}"
12,Beginner,2,numbers_age,multiple_choice,vocabulary,"{""Tengo dieciocho años""}","{""Tengo dieciocho años""}","{""I am eighteen years old""}","{""I am twenty years old"", ""I am fifteen years old"", ""I am eighteen years old""}"
13,Beginner,2,numbers_age,text_entry,vocabulary,"{""Tengo ___________ años""}","{""Tengo ___________ años""}","{""I am twenty seven years old""}","{""veintisiete""}"
14,Beginner,3,colors,matching_type,vocabulary,"{""rojo"", ""azul"", ""verde""}","{""rojo"", ""azul"", ""verde""}","{""red"", ""blue"", ""green""}","{""green"", ""red"", ""blue""}"
15,Beginner,3,colors,matching_type,vocabulary,"{""amarillo"", ""negro"", ""blanco""}","{""amarillo"", ""negro"", ""blanco""}","{""yellow"", ""black"", ""white""}","{""white"", ""yellow"", ""black""}"
16,Beginner,3,colors,multiple_choice,vocabulary,"{""El cielo es azul""}","{""El cielo es azul""}","{""The sky is blue""}","{""The sky is red"", ""The sky is blue"", ""The sky is green""}"
17,Beginner,3,colors,multiple_choice,vocabulary,"{""Mi camisa es roja""}","{""Mi camisa es roja""}","{""My shirt is red""}","{""My shirt is red"", ""My shirt is green"", ""My shirt is yellow""}"
18,Beginner,3,colors,text_entry,vocabulary,"{""El auto es ____""}","{""El auto es ____""}","{""The car is black""}","{""negro""}"
19,Beginner,3,colors,text_entry,vocabulary,"{""La flor es ____""}","{""La flor es ____""}","{""The flower is yellow""}","{""amarillo""}"
